global_step,microbatch,tokens_seen,loss,lm_loss,mtp_loss,gradient_norm,lr_scale,interval_tokens_per_second,overall_tokens_per_second,peak_memory_gib,model,phase,tokens_millions,smoothed_lm_loss,bank_constraint_strength,router_load_cv,router_entropy,router_z_loss
60,1920,7864320,3.892095804214477,3.579597949981689,6.036637783050537,0.127805218100547,0.996791649370071,15828.551749091122,14249.309485613741,9.22379207611084,M1 Switch,continuation,7.86432,3.5977679252624504,0.0,0.131512835621833,2.070402145385742,4.342830657958984
70,2240,9175040,4.112141132354736,3.785508632659912,6.318257331848144,0.12767817080020902,0.99559191373535,15425.148683967953,14406.190244201416,9.22379207611084,M1 Switch,continuation,9.17504,3.574362564086914,0.0,0.22554859519004802,2.068004846572876,4.346719741821289
80,2560,10485760,3.747098207473755,3.443810939788818,5.850845813751221,0.130309298634529,0.994203082249643,12140.738003955266,14077.82631813867,9.22379207611084,M1 Switch,continuation,10.48576,3.6009833812713623,0.0,0.15680576860904602,2.065418004989624,4.350558280944824
90,2880,11796480,3.638788938522339,3.340704441070556,5.749731063842773,0.12924569845199502,0.992625744291401,15395.141802341017,14212.955136465649,9.22379207611084,M1 Switch,continuation,11.79648,3.5304024696350096,0.0,0.07384604960680001,2.062629461288452,4.3515448570251465
100,3200,13107200,4.018361091613769,3.700985908508301,6.132373332977295,0.126431331038475,0.9908605692355701,15619.880894014263,14342.138736156005,9.22379207611084,M1 Switch,continuation,13.1072,3.5701215744018553,0.0,0.18855218589305803,2.05888557434082,4.365294933319092
110,3520,14417920,4.168869018554687,3.848860740661621,6.180093288421631,0.128173068165779,0.9889083061695311,14739.523304246903,14377.377002640067,9.22379207611084,M1 Switch,continuation,14.41792,3.6239741325378416,0.0,0.25902542471885603,2.055275440216064,4.376695156097412
120,3840,15728640,4.017539978027344,3.69924783706665,6.151957988739014,0.128385439515113,0.9867697835752071,15822.430775244062,14487.639337263956,9.22379207611084,M1 Switch,continuation,15.72864,3.6067219734191895,0.0,0.12918181717395702,2.052976369857788,4.379627227783203
130,4160,17039360,4.063979148864746,3.745096921920776,6.162306785583496,0.13130217790603602,0.9844459089774821,13382.865228779372,14396.221791119102,9.22379207611084,M1 Switch,continuation,17.03936,3.6669791698455803,0.0,0.10061231255531301,2.048614740371704,4.386085033416748
140,4480,18350080,4.093800544738769,3.774191379547119,6.175714492797852,0.12929569184780101,0.981937668559074,12594.264514083598,14250.583262097636,9.224287986755371,M1 Switch,continuation,18.35008,3.7536765575408935,0.0,0.20597864687442702,2.042631387710571,4.404229164123535
150,4800,19660800,3.714524030685425,3.414672374725342,5.7743730545043945,0.128132700920104,0.97924612674203,12949.597471993546,14155.772291389208,9.224287986755371,M1 Switch,continuation,19.6608,3.696413850784302,0.0,0.17912928760051702,2.035829782485962,4.416928291320801
160,5120,20971520,3.799992561340332,3.493445634841919,5.906412601470947,0.12705115973949402,0.9763724257360131,9041.359954198495,13672.394624073851,9.224287986755371,M1 Switch,continuation,20.97152,3.6253308296203612,0.0,0.14984838664531702,2.028862714767456,4.428889274597168
170,5440,22282240,3.367767810821533,3.082579135894775,5.480625629425049,0.130224481225013,0.9733177850535881,12994.377044576404,13630.558617399742,9.224287986755371,M1 Switch,continuation,22.28224,3.5019970893859864,0.0,0.081146247684955,2.021411657333374,4.449315071105957
180,5760,23592960,3.337454795837402,3.048001289367676,5.571587085723877,0.131190672516822,0.970083500992693,12554.421601965312,13565.956200463246,9.224287986755371,M1 Switch,continuation,23.59296,3.362577962875366,0.0,0.175724938511848,2.018518686294555,4.462956428527832
190,6080,24903680,3.42345929145813,3.131845951080322,5.617751121520996,0.127390533685684,0.966670946086533,12532.11977783776,13507.309640032936,9.224287986755371,M1 Switch,continuation,24.90368,3.234108877182007,0.0,0.12762045860290502,2.010311841964721,4.487863540649414
200,6400,26214400,3.950384378433227,3.6300337314605713,6.178107261657715,0.130375772714614,0.963081568521112,12463.761325464884,13450.99932044495,9.224287986755371,M1 Switch,continuation,26.2144,3.2771811485290527,0.0,0.13169951736927002,1.996978759765625,4.529843807220459
210,6720,27525120,3.702780246734619,3.402242183685302,5.793863773345947,0.126694858074188,0.9593168915206751,12451.793556502007,13399.795555362472,9.224287986755371,M1 Switch,continuation,27.52512,3.2589404582977286,0.0,0.10448638349771501,1.996869444847107,4.5285844802856445
220,7040,28835840,4.058027267456055,3.738412857055664,6.164791107177734,0.131566032767295,0.955378512701288,12397.102188446339,13350.712710053196,9.224287986755371,M1 Switch,continuation,28.83584,3.3901072025299066,0.0,0.11709809303283601,1.984549164772033,4.566305160522461
230,7360,30146560,3.39479660987854,3.101748466491699,5.635251045227051,0.12960016727447501,0.951268103392864,9820.056198910412,13145.226942370664,9.224287986755371,M1 Switch,continuation,30.14656,3.4008566379547114,0.0,0.13084506988525302,1.976555943489074,4.584221839904785
240,7680,31457280,3.395800590515136,3.104285478591919,5.603757858276367,0.128066673874855,0.9469874079299001,12382.49772383107,13111.575339131683,9.224287986755371,M1 Switch,continuation,31.45728,3.395344543457031,0.0,0.11810889840126002,1.9667520523071291,4.615358352661133
250,8000,32768000,3.458056926727295,3.15964126586914,5.744168281555176,0.126903131604194,0.9425382429112301,12533.13366736986,13087.41440359052,9.224287986755371,M1 Switch,continuation,32.768,3.301266050338745,0.0,0.06968525052070601,1.958889007568359,4.638161659240723
260,8320,34078720,3.599897146224975,3.2979366779327393,5.815746307373047,0.127023845911026,0.9379224964291181,11907.532721037349,13037.727124580468,9.224287986755371,M1 Switch,continuation,34.07872,3.2804049491882323,0.0,0.20027536153793302,1.950038909912109,4.669571876525879
270,8640,35389440,3.8912079334259033,3.575892210006714,6.074740409851074,0.127978801727294,0.933142127268008,12281.870134620867,13008.077139972287,9.224287986755371,M1 Switch,continuation,35.38944,3.2479008197784425,0.0,0.120502062141895,1.934408187866211,4.724215984344482
280,8960,36700160,3.939548730850219,3.630553722381592,5.957786560058594,0.127972587943077,0.9281991640732751,12041.311880110963,12970.884347532496,9.224287986755371,M1 Switch,continuation,36.70016,3.353661870956421,0.0,0.13883998990058902,1.926825404167175,4.761836528778076
290,9280,38010880,4.007322788238525,3.692141056060791,6.066544532775879,0.13076032698154402,0.9230957044903271,12992.423366908277,12971.625883429726,9.22501277923584,M1 Switch,continuation,38.01088,3.4712329864501954,0.0,0.165161713957786,1.906419873237609,4.843612194061279
300,9600,39321600,3.806355714797973,3.492603063583374,6.058638572692871,0.129881128668785,0.9178339142744271,12500.262300274613,12955.341754974572,9.22501277923584,M1 Switch,continuation,39.3216,3.537825345993042,0.0,0.131383746862411,1.90696907043457,4.847894191741943
310,9920,40632320,4.202153205871582,3.8788034915924072,6.237571716308594,0.12780232727527602,0.9124160263716141,9952.949739213813,12830.4892931051,9.22501277923584,M1 Switch,continuation,40.63232,3.6539987087249757,0.0,0.101190023124217,1.892219066619873,4.901256084442139
320,10240,41943040,3.488489627838134,3.191021680831909,5.70902156829834,0.126965478062629,0.906844339971106,13930.902519692036,12862.239251011928,9.22501277923584,M1 Switch,continuation,41.94304,3.5770246028900146,0.0,0.14476311206817602,1.8757767677307131,4.976356029510498
330,10560,43253760,3.651449680328369,3.345933675765991,5.8798346519470215,0.130151912569999,0.9011212195295931,12410.410244448916,12848.0646206388,9.22501277923584,M1 Switch,continuation,43.25376,3.5201005935668945,0.0,0.082084201276302,1.8688064813613892,5.012189865112305
340,10880,44564480,4.2410569190979,3.919367790222168,6.190095901489258,0.130435436964035,0.895249093767831,12387.930859502305,12834.043913085297,9.22501277923584,M1 Switch,continuation,44.56448,3.56554594039917,0.0,0.15674139559268901,1.843122601509094,5.119032859802246
350,11200,45875200,3.898768424987793,3.581885814666748,6.100015640258789,0.127464160323143,0.8892304546399701,12862.578374940735,12834.857426383836,9.22501277923584,M1 Switch,continuation,45.8752,3.583402490615845,0.0,0.13131453096866602,1.834630966186523,5.167869567871094
360,11520,47185920,3.930275678634643,3.6182985305786133,6.010670185089111,0.13092122972011502,0.8830678562760381,12384.829487820462,12821.915472335844,9.22501277923584,M1 Switch,continuation,47.18592,3.531301498413086,0.0,0.177779138088226,1.8298708200454712,5.198111534118652
370,11840,48496640,3.476436138153076,3.177328586578369,5.731695175170898,0.12773977220058402,0.8767639138980501,12445.447672440176,12811.441447849995,9.22501277923584,M1 Switch,continuation,48.49664,3.528562879562378,0.0,0.121414050459861,1.8018937110900881,5.33423376083374
380,12160,49807360,3.907286643981933,3.597232341766357,5.958709716796875,0.129583656787872,0.870321302710182,14105.356667630522,12842.443168959882,9.22501277923584,M1 Switch,continuation,49.80736,3.578822612762451,0.0,0.106230609118938,1.785260200500488,5.429604530334473
390,12480,51118080,3.658528804779052,3.358376979827881,5.77302360534668,0.129481092095375,0.8637427567634951,9903.303693255648,12745.452323665568,9.22501277923584,M1 Switch,continuation,51.11808,3.466624450683594,0.0,0.119747437536716,1.775879502296447,5.4788360595703125
400,12800,52428800,4.158202171325684,3.836965084075927,6.181911945343018,0.133202880620956,0.85703106779569,11590.281509310114,12713.773670578548,9.22501277923584,M1 Switch,continuation,52.4288,3.517640304565429,0.0,0.10840745270252201,1.756856918334961,5.586010932922363
410,13120,53739520,4.026490688323975,3.709880352020263,6.0937275886535645,0.130042254924774,0.8501890840463721,11327.243108968929,12675.929309550296,9.22501277923584,M1 Switch,continuation,53.73952,3.535956668853759,0.0,0.165240764617919,1.739737153053283,5.683643341064453
420,13440,55050240,3.517295837402343,3.213999509811401,5.837324619293213,0.13174523413181302,0.8432197090483481,13116.119860615117,12686.06639316481,9.22501277923584,M1 Switch,continuation,55.05024,3.5432908535003653,0.0,0.131388366222381,1.736965179443359,5.717406749725342
430,13760,56360960,3.603904962539673,3.305862426757812,5.720792770385742,0.131406530737876,0.8361259003954491,14700.612962050114,12726.625340143735,9.22501277923584,M1 Switch,continuation,56.36096,3.4850168704986566,0.0,0.159597188234329,1.7173748016357422,5.845104217529297
440,14080,57671680,4.059492588043213,3.7433407306671143,6.085958003997803,0.133727222681045,0.8289106684874231,15642.56722678142,12780.772447466703,9.22501277923584,M1 Switch,continuation,57.67168,3.5620096206665033,0.0,0.12112699449062302,1.6910978555679321,5.996951103210449
450,14400,58982400,4.067058086395264,3.745217323303222,6.191192150115967,0.131404936313629,0.8215770752524051,16238.922321134753,12841.542735475548,9.22501277923584,M1 Switch,continuation,58.9824,3.5436600685119624,0.0,0.10566830635070801,1.6773895025253291,6.102753639221191
460,14720,60293120,4.345449447631836,4.01313591003418,6.386544227600098,0.13343267142772602,0.81412823284753,12378.303802530807,12831.10394677679,9.22501277923584,M1 Switch,continuation,60.29312,3.6043111801147463,0.0,0.11902803182601901,1.65668499469757,6.255483627319336
470,15040,61603840,3.851122140884399,3.538806915283203,6.016933441162109,0.133572027087211,0.806567302338225,15459.064916696547,12877.681375232696,9.22501277923584,M1 Switch,continuation,61.60384,3.6692726612091064,0.0,0.10512311011552801,1.65243661403656,6.334613800048828
480,15360,62914560,3.9148190021514893,3.60418963432312,5.978561878204346,0.133830606937408,0.7988974923567501,13978.504164849372,12898.843840549576,9.22501277923584,M1 Switch,continuation,62.91456,3.728938102722168,0.0,0.140863493084907,1.633514046669006,6.476161479949951
490,15680,64225280,3.682530403137207,3.378350734710693,5.833985805511475,0.12964978814125,0.7911220577405481,13964.783379269787,12918.968573686298,9.22501277923584,M1 Switch,continuation,64.22528,3.6559401035308836,0.0,0.17798963189125003,1.609315037727356,6.680863857269287
500,16000,65536000,4.055459022521973,3.740210771560669,6.051429748535156,0.131656184792518,0.7832442981509921,14497.5541589837,12947.163959159296,9.22574520111084,M1 Switch,continuation,65.536,3.654938793182373,0.0,0.09473152458667701,1.57876455783844,6.885799407958984
510,16320,66846720,3.972394704818725,3.6520907878875732,6.151754379272461,0.13120296597480702,0.7752675566731051,15168.168834784941,12984.44341116092,9.22574520111084,M1 Switch,continuation,66.84672,3.582729768753052,0.0,0.106868341565132,1.564135670661926,7.036447048187256
520,16640,68157440,4.209760189056396,3.887335300445556,6.214592933654785,0.133931249380111,0.7671952183968581,15549.619788580136,13025.766941538694,9.22574520111084,M1 Switch,continuation,68.15744,3.6524354457855224,0.0,0.18743446469306901,1.5631036758422852,7.146825790405273
530,16960,69468160,3.563131093978882,3.267951488494873,5.667970657348633,0.13084562122821802,0.7590307089806351,13741.171969763382,13038.574975560121,9.22574520111084,M1 Switch,continuation,69.46816,3.585187816619873,0.0,0.136071994900703,1.54872453212738,7.322153091430664
540,17280,70778880,3.694470882415771,3.387756586074829,5.894358158111572,0.13338005542755102,0.7507774931974911,10732.862861359783,12986.909366790349,9.22574520111084,M1 Switch,continuation,70.77888,3.5870689868927004,0.0,0.216993525624275,1.5178343057632442,7.587010860443115
550,17600,72089600,3.99690318107605,3.687255859375,5.9706292152404785,0.135924458503723,0.7424390734648031,14852.492430016808,13016.636383980534,9.22574520111084,M1 Switch,continuation,72.0896,3.5764780044555664,0.0,0.169416978955268,1.515861511230468,7.715399742126465
560,17920,73400320,3.971828699111938,3.659910917282104,5.9916300773620605,0.135402023792266,0.7340189883579511,13255.886998302985,13020.83295917128,9.22574520111084,M1 Switch,continuation,73.40032,3.5780420303344727,0.0,0.19283108413219402,1.492510318756103,7.903913497924805
570,18240,74711040,3.418859481811523,3.124157905578613,5.65440559387207,0.133732140064239,0.7255208111086511,13716.180668555866,13032.423912943677,9.22574520111084,M1 Switch,continuation,74.71104,3.425406551361084,0.0,0.15441484749317103,1.482306599617004,8.17302131652832
580,18560,76021760,3.951518058776855,3.6329774856567383,6.129108428955078,0.14341750741004902,0.7169481480885841,15265.759136685114,13065.379537483526,9.22574520111084,M1 Switch,continuation,76.02176,3.498411750793457,0.0,0.16901139914989402,1.459180235862732,8.410569190979004
590,18880,77332480,3.482896089553833,3.19044017791748,5.6137003898620605,0.143430292606353,0.7083046372789581,13742.438484359114,13076.2988552782,9.22574520111084,M1 Switch,continuation,77.33248,3.4589484691619874,0.0,0.251368999481201,1.451297760009765,8.627090454101562
600,19200,78643200,3.671378850936889,3.366710662841797,5.867021560668945,0.1383868008852,0.6995939467266601,13534.43789405283,13083.680204395909,9.22574520111084,M1 Switch,continuation,78.6432,3.3948394298553466,0.0,0.331327617168426,1.4373770952224731,8.829174995422363
610,19520,79953920,4.046314239501953,3.734239816665649,6.012613296508789,0.141622856259346,0.6908197729876471,13875.968798667947,13095.938409344451,9.22574520111084,M1 Switch,continuation,79.95392,3.4097052097320555,0.0,0.35241225361824,1.4284501075744631,9.025152206420898
620,19840,81264640,3.925187826156616,3.609138965606689,6.095761299133301,0.14022409915924,0.6819858395582361,10568.450058571105,13045.61723062563,9.22574520111084,M1 Switch,continuation,81.26464,3.50670142173767,0.0,0.289318948984146,1.421911239624023,9.190020561218262
630,20160,82575360,3.86952257156372,3.560722827911377,5.935208320617676,0.136324673891067,0.673095895294966,13940.267206022232,13058.920205618975,9.22574520111084,M1 Switch,continuation,82.57536,3.492250490188598,0.0,0.19793710112571702,1.39572274684906,9.586292266845703
640,20480,83886080,3.964626312255859,3.653117656707763,5.994015693664551,0.146123439073562,0.6641537128236931,15251.121889995486,13088.31581765582,9.22574520111084,M1 Switch,continuation,83.88608,3.584785985946655,0.0,0.248512104153633,1.38503885269165,9.760905265808105
650,20800,85196800,3.8271374702453613,3.517086744308471,5.978806018829346,0.13639365136623302,0.655163086938606,15707.501005614733,13121.978216834961,9.22574520111084,M1 Switch,continuation,85.1968,3.6148612022399895,0.0,0.245975524187088,1.384124636650085,9.873790740966797
660,21120,86507520,3.789691925048828,3.486652374267578,5.837393283843994,0.14278700947761502,0.6461278329918241,14476.740212221432,13140.61040356195,9.22574520111084,M1 Switch,continuation,86.50752,3.565343713760375,0.0,0.28436887264251703,1.371955275535583,10.234567642211914
670,21440,87818240,3.816799879074096,3.508670330047607,5.94010591506958,0.142204210162162,0.6370517852742781,15261.655839800931,13167.924752275892,9.22574520111084,M1 Switch,continuation,87.81824,3.545249986648559,0.0,0.19798786938190402,1.362953543663025,10.388564109802246
680,21760,89128960,3.249919176101684,2.970280170440674,5.365046501159668,0.144739165902137,0.627938795388554,15288.505344637913,13194.839167066102,9.22574520111084,M1 Switch,continuation,89.12896,3.427161455154418,0.0,0.26471945643424905,1.351451873779296,10.639505386352539
690,22080,90439680,3.764082431793213,3.4660921096801762,5.737173080444336,0.142707198858261,0.618792730614385,12129.665654548067,13178.06757973337,9.22574520111084,M1 Switch,continuation,90.43968,3.3897563457489013,0.0,0.18922038376331302,1.347452640533447,10.822497367858887
700,22400,91750400,3.370738983154297,3.0878427028656,5.440350532531738,0.14191728830337502,0.6096174722674951,15473.675809124263,13206.056063762386,9.22574520111084,M1 Switch,continuation,91.7504,3.303907537460327,0.0,0.251772791147232,1.3488677740097041,10.93545150756836
710,22720,93061120,4.224478244781494,3.9049651622772212,6.167696952819824,0.14398555457592002,0.6004169140524871,14878.328251573019,13226.99505104774,9.22574520111084,M1 Switch,continuation,93.06112,3.387570095062256,0.0,0.145249500870704,1.334646224975586,11.324758529663086
720,23040,94371840,3.735002756118774,3.433265924453735,5.810317516326904,0.1506118029356,0.591194960410469,15658.97534268396,13255.588281260038,9.22574520111084,M1 Switch,continuation,94.37184,3.3724892139434814,0.0,0.19137947261333402,1.324841499328613,11.468389511108398
730,23360,95682560,4.438895225524902,4.106981754302978,6.39622688293457,0.141278177499771,0.5819555248621261,15415.768631742027,13281.082131486557,9.22574520111084,M1 Switch,continuation,95.68256,3.5998295307159416,0.0,0.242312863469123,1.300936222076416,12.057745933532715
740,23680,96993280,3.6616406440734863,3.360383510589599,5.798793792724609,0.14523671567440002,0.572702528346939,15635.563344906299,13308.163343622378,9.22574520111084,M1 Switch,continuation,96.99328,3.5786878108978266,0.0,0.344833225011825,1.311444163322448,12.147600173950195
750,24000,98304000,4.362539768218994,4.031323432922363,6.393853187561035,0.14374977350234902,0.563439897559261,15662.337599874956,13334.887876959985,9.22574520111084,M1 Switch,continuation,98.304,3.767383956909179,0.0,0.29501780867576605,1.310863971710205,12.386894226074219
760,24320,99614720,3.35507321357727,3.070987939834594,5.4722537994384775,0.152707576751708,0.5541715632819371,14989.585814683998,13354.284947238928,9.22574520111084,M1 Switch,continuation,99.61472,3.6005885124206536,0.0,0.30345451831817605,1.331261277198791,12.16486930847168
770,24640,100925440,4.022608280181885,3.701874256134033,6.182673931121826,0.14461056888103402,0.5449014587182051,11865.398821515226,13332.557840703674,9.22574520111084,M1 Switch,continuation,100.92544,3.654310178756713,0.0,0.257159262895584,1.308974623680114,12.524675369262695
780,24960,102236160,3.9265296459198,3.609777450561523,6.091587066650391,0.144150406122207,0.5356335178225561,15681.309937963295,13358.209087342599,9.22574520111084,M1 Switch,continuation,102.23616,3.5548693180084223,0.0,0.170928910374641,1.276656508445739,13.101860046386719
790,25280,103546880,3.886412143707275,3.5769846439361572,5.960707187652588,0.146753281354904,0.52637167363129,15477.407485003938,13381.401605962828,9.22574520111084,M1 Switch,continuation,103.54688,3.5981895446777346,0.0,0.297183841466903,1.28356921672821,13.148066520690918
800,25600,104857600,4.44741153717041,4.113117218017578,6.464890480041504,0.144408985972404,0.5171198565934451,15629.296483284648,13405.502306845072,9.22574520111084,M1 Switch,continuation,104.8576,3.6145483016967774,0.0,0.529137849807739,1.280203700065612,13.386885643005371
810,25920,106168320,3.9596142768859863,3.642880201339721,6.106042861938477,0.14239034056663502,0.5078819929028351,14640.796987856053,13419.480677210873,9.22574520111084,M1 Switch,continuation,106.16832,3.728926753997802,0.0,0.212096244096755,1.280227303504943,13.60871696472168
820,26240,107479040,3.824635982513427,3.516596317291259,5.932840824127197,0.142937287688255,0.49866200283189505,15220.315134420573,13438.871627830586,9.22574520111084,M1 Switch,continuation,107.47904,3.691871166229247,0.0,0.299510508775711,1.267863869667053,13.986254692077637
830,26560,108789760,4.045348167419434,3.725334644317627,6.181788921356201,0.155004873871803,0.48946379906803006,15216.188133144238,13457.810548403137,9.22574520111084,M1 Switch,continuation,108.78976,3.714982604980469,0.0,0.329997599124908,1.281479001045227,13.762800216674805
840,26880,110100480,3.918924570083618,3.603920698165893,6.08282470703125,0.142698720097541,0.480291285053187,15310.92981414124,13477.229381970048,9.22574520111084,M1 Switch,continuation,110.10048,3.720369815826415,0.0,0.30155026912689203,1.268525123596191,13.982451438903809
850,27200,111411200,3.695505380630493,3.3921420574188232,5.827591896057129,0.148655980825424,0.47114835332735805,11856.354819551008,13455.58815006702,9.22574520111084,M1 Switch,continuation,111.4112,3.5761747837066644,0.0,0.37391942739486606,1.251509666442871,14.431673049926758
860,27520,112721920,3.459574937820434,3.164514303207397,5.676974296569824,0.171562194824218,0.46203888387669406,14688.261552095177,13468.731493970707,9.22696590423584,M1 Switch,continuation,112.72192,3.4805016040801995,0.0,0.253849208354949,1.27930748462677,14.159563064575195
870,27840,114032640,4.119871616363525,3.797725677490234,6.216800212860107,0.144558757543563,0.45296674248696406,15163.081280291522,13486.05282306298,9.22696590423584,M1 Switch,continuation,114.03264,3.536727476119995,0.0,0.333581626415252,1.252486944198608,14.58838939666748
880,28160,115343360,3.296352863311767,3.008735179901123,5.523110389709473,0.15321233868598902,0.443935779103022,15300.28353187238,13504.249027218248,9.22696590423584,M1 Switch,continuation,115.34336,3.3934075832366943,0.0,0.260556131601333,1.264484763145446,14.603435516357422
890,28480,116654080,3.992630958557129,3.680407762527466,6.009852409362793,0.157353907823562,0.43494982619501504,15283.231425824533,13521.934035520773,9.22696590423584,M1 Switch,continuation,116.65408,3.408704996109009,0.0,0.264051467180252,1.236815810203552,15.183765411376953
900,28800,117964800,3.706944465637207,3.402435302734375,5.858328819274902,0.166087657213211,0.42601269713199,15660.547016720564,13542.482579160434,9.22696590423584,M1 Switch,continuation,117.9648,3.410763645172119,0.0,0.18962213397026,1.2542409896850581,14.952827453613281
910,29120,119275520,3.48292875289917,3.187369346618652,5.683283805847168,0.14763391017913802,0.41712818456362005,15235.502622837024,13559.04000670727,9.22696590423584,M1 Switch,continuation,119.27552,3.4153346538543703,0.0,0.337302237749099,1.262183427810669,15.024450302124023
920,29440,120586240,3.816181898117065,3.5084586143493652,5.917022705078125,0.143266007304191,0.408300058810713,12299.302605480078,13543.961531679293,9.22696590423584,M1 Switch,continuation,120.58624,3.3574812412261963,0.0,0.262875705957412,1.241560339927673,15.413607597351074
930,29760,121896960,3.488124370574951,3.194225549697876,5.65491247177124,0.16617195308208402,0.39953206626520604,15810.410906071087,13564.870642937365,9.22696590423584,M1 Switch,continuation,121.89696,3.394579315185547,0.0,0.25925999879837003,1.257545948028564,15.163680076599121
940,30080,123207680,3.622478246688842,3.319685459136963,5.827219486236572,0.171283960342407,0.390827927800301,15790.061862631504,13585.237447034933,9.22696590423584,M1 Switch,continuation,123.20768,3.3224348545074465,0.0,0.18172474205493902,1.239255905151367,15.505796432495117
950,30400,124518400,4.080856323242187,3.765484571456909,6.082584857940674,0.16519117355346602,0.38219133719144605,15851.267764894752,13605.711289609404,9.22696590423584,M1 Switch,continuation,124.5184,3.395044708251953,0.0,0.280214697122573,1.229614377021789,15.815936088562012
960,30720,125829120,3.701836109161377,3.398145914077759,5.837813377380371,0.15293544530868503,0.373625959548802,15218.082364109749,13620.743909033403,9.22696590423584,M1 Switch,continuation,125.82912,3.4372000217437746,0.0,0.17563940584659501,1.228949666023254,15.931793212890625
970,31040,127139840,4.199559211730957,3.873440980911255,6.289134502410889,0.16435739398002602,0.365135429761881,15731.771008677384,13639.612805431992,9.22696590423584,M1 Switch,continuation,127.13984,3.510196495056152,0.0,0.28453516960144004,1.213219881057739,16.326475143432617
980,31360,128450560,3.683363199234009,3.380666971206665,5.822035789489746,0.15867091715335802,0.35672335095701,15899.077171073515,13659.420767090201,9.22696590423584,M1 Switch,continuation,128.45056,3.54748477935791,0.0,0.194813609123229,1.221579551696777,16.07645034790039
990,31680,129761280,3.950658798217773,3.634695053100586,6.092997074127197,0.160805344581604,0.34839329296827204,15777.202519276549,13677.966223844756,9.22696590423584,M1 Switch,continuation,129.76128,3.610486698150635,0.0,0.29017513990402205,1.228945851325988,16.244626998901367
1000,32000,131072000,3.830629110336303,3.522482872009277,5.937517166137695,0.15012525022029802,0.34014879082257204,12243.852587935218,13661.96406372695,9.22696590423584,M1 Switch,continuation,131.072,3.561886358261108,0.0,0.23946693539619401,1.221560359001159,16.598440170288086
1010,32320,132382720,3.856444120407104,3.544377088546753,6.017284393310547,0.154969006776809,0.33199334323948104,15002.154654646887,13674.058593531385,9.22696590423584,M1 Switch,continuation,132.38272,3.5911325931549074,0.0,0.24586001038551303,1.223406672477722,16.60494041442871
1020,32640,133693440,4.189844608306885,3.866848468780517,6.222580909729004,0.148895740509033,0.323930411146483,15974.621960891154,13693.39227185348,9.22696590423584,M1 Switch,continuation,133.69344,3.5898140907287597,0.0,0.161697939038276,1.214921593666076,16.81658935546875
1030,32960,135004160,4.004669189453125,3.682256460189819,6.208076477050781,0.14905762672424303,0.315963416210261,15911.200321306955,13711.948211507313,9.22696590423584,M1 Switch,continuation,135.00416,3.6501319885253904,0.0,0.306623846292495,1.210577130317688,16.84735107421875
1040,33280,136314880,3.6617929935455322,3.362920761108398,5.754830360412598,0.155029088258743,0.308095739384645,15907.289384755524,13730.16821095105,9.22696590423584,M1 Switch,continuation,136.31488,3.595777130126953,0.0,0.238627240061759,1.227616786956787,16.853023529052734
1050,33600,137625600,3.75437593460083,3.448935031890869,5.883024215698242,0.19507482647895802,0.300330719475836,15823.16794117527,13747.486689803125,9.22696590423584,M1 Switch,continuation,137.6256,3.5810675621032715,0.0,0.40149685740470803,1.224030256271362,16.73645782470703
1060,33920,138936320,3.778528213500976,3.4708375930786133,5.918542385101318,0.150336280465126,0.292671651725517,15281.10383341743,13760.515088894284,9.22696590423584,M1 Switch,continuation,138.93632,3.5663596630096435,0.0,0.279271960258483,1.202609419822692,17.1752986907959
1070,34240,140247040,3.7934975624084473,3.4903523921966553,5.840663909912109,0.15123412013053802,0.28512178641245,12283.911498901853,13745.073551709971,9.22696590423584,M1 Switch,continuation,140.24704,3.4910604476928713,0.0,0.360168039798736,1.208808302879333,17.53034782409668
1080,34560,141557760,3.578728437423706,3.283815383911133,5.6773786544799805,0.18538483977317802,0.277684327473156,15911.755940982033,13762.425505013705,9.22696590423584,M1 Switch,continuation,141.55776,3.4113722324371336,0.0,0.13814766705036102,1.221745133399963,16.893295288085938
1090,34880,142868480,3.482972383499145,3.187518119812011,5.665183067321777,0.16273310780525202,0.270362431142263,15838.560693621692,13778.99582850575,9.22696590423584,M1 Switch,continuation,142.86848,3.3762917041778566,0.0,0.40538629889488204,1.200971245765686,17.450942993164062
1100,35200,144179200,3.711349964141845,3.404783725738525,5.889588356018066,0.154973119497299,0.263159204613089,15834.008683966722,13795.272337312948,9.22696590423584,M1 Switch,continuation,144.1792,3.3674614429473877,0.0,0.22437651455402302,1.196370959281921,17.68902587890625
1110,35520,145489920,3.767364978790283,3.460722684860229,5.8947553634643555,0.16377219557762102,0.256077704719048,15195.718097108613,13806.735728111942,9.22696590423584,M1 Switch,continuation,145.48992,3.365438461303711,0.0,0.319471925497055,1.206887245178222,17.74000358581543
1120,35840,146800640,3.448561668395996,3.152352571487426,5.705349922180176,0.151163816452026,0.24912093663641602,15798.03819197242,13822.291662465715,9.22696590423584,M1 Switch,continuation,146.80064,3.2978384971618646,0.0,0.24246503412723502,1.210775732994079,17.88156509399414
1130,36160,148111360,3.678257465362549,3.381370067596435,5.714908123016357,0.16877546906471202,0.24229185260903002,15853.303979980446,13837.980365292744,9.22696590423584,M1 Switch,continuation,148.11136,3.317349433898925,0.0,0.32253658771514804,1.200329780578613,18.00433349609375
